Self-contained mixed-variable MOO wrappers generated by generate_selfcontained_wrappers_MOO_mix.m
Variables follow a deterministic C/K/D/C/D/K cyclic pattern; heterogeneity applies only to C variables.
D values are nonuniform and sorted; K values are nonuniform embeddings with permuted labels.

baseline_1/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/ex005_mix.m    (source=ex005, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb41_mix.m    (source=Deb41, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb213_mix.m    (source=Deb213, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
baseline_1/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=1)
moderate_1e4/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=10000)
progressive_1e6/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
extreme_1e8/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=100000000)
sobol_oscillatory_1e6/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
sobol_digit_oscillatory_1e6/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
spatial_thermal_9e4/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=90000)
halton_oscillatory_1e6/Deb512a_mix.m    (source=Deb512a, n=2, m=2, C=1, D=0, K=1, kappa=1000000)
